,symbol,close,chg,volume,amplitude,tag
0,BTU,19.66,23.18,22257003,22.493734335839598,振幅剧烈
1,CIFR,7.9,13.02,6855930,22.8898426323319,振幅剧烈
2,FDMT,29.86,9.3,691189,21.449487554904845,振幅剧烈
3,ROCC,30.73,223.81,253316,24.44678609062167,振幅剧烈
4,PROG,2.99,39.72,352090770,38.78504672897196,振幅剧烈
5,AVTE,16.89,19.53,2219655,47.841472045293706,振幅剧烈
6,ADMP,1.23,8.85,151823103,23.008849557522126,振幅剧烈
7,HUDI,8.49,16.3,573951,21.506849315068486,振幅剧烈
8,HX,6.67,13.05,6586711,26.779661016949152,振幅剧烈
9,VERO,2.0,2.56,1620768,21.025641025641022,振幅剧烈
10,VLCN,9.25,11.71,1391129,25.000000000000007,振幅剧烈
11,GRNQ,1.0,11.8,23695320,25.842696629213467,振幅剧烈
12,BTCS,6.68,13.03,581836,23.01184433164129,振幅剧烈
13,IO,2.18,56.83,142027946,25.89928057553956,振幅剧烈
14,VS,4.0,21.21,421502,33.939393939393945,振幅剧烈
15,LTBR,7.23,15.13,480230,23.407643312101904,振幅剧烈
16,KAVL,1.61,18.38,6317870,30.882352941176464,振幅剧烈
17,ICD,5.45,19.52,1185425,20.39473684210526,振幅剧烈
18,LMFA,5.39,13.47,15145387,24.00000000000001,振幅剧烈
19,SXTC,1.02,9.59,3875497,23.655913978494617,振幅剧烈
20,SYTA,3.04,6.29,3737632,34.96503496503497,振幅剧烈
21,CEM,31.6,0.54,90025,2.1635380209990447,破线拐头交叉
22,FM,35.66,0.85,307466,1.527149321266966,破线拐头交叉
23,BSL,17.04,2.59,301542,5.538832028898264,破线拐头交叉
24,LUB,4.98,0.81,339168,1.4170040485829836,破线拐头交叉
25,OSCV,34.17,0.5,107148,0.8823529411764622,破线拐头交叉
26,TTP,26.13,0.23,26743,1.9946298427311069,破线拐头交叉
