symbol,open_alias,close,high,low,preclose,change,chg,volume,amplitude,mktcap,market
DISCB,45.15,45.57,47.73,42.78,44.99,0.58,1.29,23911,11.00%,23046827202,NASDAQ
ADGI,31.42,34.32,36.0,30.92,31.4,2.92,9.3,376626,16.18%,3818156972,NASDAQ
LILM,9.25,10.2,10.25,9.07,8.97,1.23,13.71,1592873,13.18%,2897922945,NASDAQ
EXAI,22.5,24.05,24.79,22.5,22.4,1.65,7.37,138764,10.20%,2895321905,NASDAQ
CCXI,36.98,38.41,40.9,29.07,19.6,18.81,95.97,145617969,60.36%,2684993616,NASDAQ
RLAY,26.5,28.16,34.0,25.72,26.0,2.16,8.31,3715081,31.85%,2610293974,NASDAQ
HUT,10.05,10.43,10.63,9.63,9.82,0.61,6.21,9231336,10.18%,1711173052,NASDAQ
ZETA,8.0,8.58,8.62,7.7,7.99,0.59,7.38,1223255,11.51%,1665144987,NYSE
HLTH,11.17,10.89,12.03,10.62,10.8,0.09,0.83,1296436,13.06%,1565618138,NYSE
SNDL,0.74,0.68,0.74,0.67,0.65,0.03,5.0,220603672,11.37%,1401624029,NASDAQ
NEXA,9.2,9.83,10.15,9.2,8.99,0.84,9.34,345123,10.57%,1301871988,NYSE
TNGX,13.7,14.11,14.96,13.54,13.67,0.44,3.22,84706,10.35%,1234262371,NASDAQ
