buy_date,total_cnt,buy_cnt,sell_cnt
2025-09-08,26,3.0,1.0
2025-09-09,28,0.0,1.0
2025-09-10,27,,
2025-09-11,27,3.0,0.0
2025-09-12,30,,
2025-09-15,30,1.0,0.0
2025-09-16,31,,
2025-09-17,31,2.0,0.0
2025-09-18,33,0.0,5.0
2025-09-19,28,,
2025-09-22,28,0.0,2.0
2025-09-23,26,1.0,2.0
2025-09-24,25,,
2025-09-25,25,,
2025-09-26,25,4.0,0.0
2025-09-29,29,1.0,0.0
2025-09-30,30,1.0,0.0
2025-10-09,31,4.0,0.0
2025-10-10,35,,
2025-10-13,35,4.0,0.0
2025-10-14,39,3.0,0.0
2025-10-15,42,1.0,0.0
2025-10-16,43,1.0,1.0
2025-10-17,43,1.0,3.0
2025-10-20,41,0.0,2.0
2025-10-21,39,2.0,0.0
2025-10-22,41,,
2025-10-23,41,1.0,2.0
2025-10-24,40,1.0,0.0
2025-10-27,41,,
2025-10-28,41,0.0,1.0
2025-10-29,40,2.0,0.0
2025-10-30,42,0.0,1.0
2025-10-31,41,0.0,1.0
2025-11-03,40,1.0,0.0
2025-11-04,41,,
2025-11-05,41,1.0,0.0
2025-11-06,42,,
2025-11-07,42,0.0,1.0
2025-11-10,41,0.0,1.0
2025-11-11,40,0.0,1.0
2025-11-12,39,0.0,2.0
2025-11-13,37,1.0,0.0
2025-11-14,38,0.0,2.0
2025-11-17,36,0.0,2.0
2025-11-18,34,0.0,7.0
2025-11-19,27,,
2025-11-20,27,0.0,1.0
2025-11-21,26,0.0,5.0
2025-11-24,21,1.0,3.0
2025-11-25,19,1.0,0.0
2025-11-26,20,2.0,5.0
2025-11-27,17,,
2025-11-28,17,3.0,0.0
2025-12-01,20,1.0,0.0
2025-12-02,21,3.0,0.0
2025-12-03,24,1.0,2.0
2025-12-04,23,0.0,1.0
2025-12-05,22,7.0,0.0
2025-12-08,29,2.0,1.0
2025-12-09,30,0.0,1.0
2025-12-10,29,0.0,1.0
2025-12-11,28,1.0,1.0
2025-12-12,28,2.0,0.0
2025-12-15,30,,
2025-12-16,30,0.0,1.0
2025-12-17,29,,
2025-12-18,29,,
2025-12-19,29,2.0,0.0
2025-12-22,31,1.0,0.0
2025-12-23,32,3.0,1.0
2025-12-24,34,3.0,0.0
2025-12-25,37,3.0,0.0
2025-12-26,40,,
2025-12-29,40,0.0,1.0
2025-12-30,39,,
2025-12-31,39,,
2026-01-05,39,1.0,0.0
2026-01-06,40,2.0,1.0
2026-01-07,41,1.0,0.0
2026-01-08,42,2.0,0.0
2026-01-09,44,0.0,1.0
2026-01-12,43,1.0,0.0
2026-01-13,44,0.0,1.0
2026-01-14,43,0.0,2.0
2026-01-15,41,,
2026-01-16,41,,
2026-01-19,41,0.0,1.0
2026-01-20,40,,
2026-01-21,40,,
2026-01-22,40,,
2026-01-23,40,1.0,0.0
2026-01-26,41,0.0,5.0
2026-01-27,36,0.0,2.0
2026-01-28,34,,
2026-01-29,34,3.0,1.0
2026-01-30,36,0.0,2.0
2026-02-02,34,0.0,4.0
2026-02-03,30,3.0,0.0
2026-02-04,33,3.0,0.0
2026-02-05,36,0.0,1.0
2026-02-06,35,1.0,0.0
2026-02-09,36,1.0,0.0
2026-02-10,37,0.0,4.0
2026-02-11,33,1.0,1.0
2026-02-12,33,2.0,1.0
2026-02-13,34,1.0,2.0
2026-02-24,33,7.0,0.0
2026-02-25,40,2.0,0.0
2026-02-26,42,1.0,0.0
2026-02-27,43,2.0,0.0
2026-03-02,45,2.0,0.0
2026-03-03,47,,
2026-03-04,47,,
2026-03-05,47,,
2026-03-06,47,,
