industry,pl
生物技术<span style='color:#ff4444;'><b>↑10</b></span>/2,58750.27
软件/0,49080.58
石油天然气<span style='color:#00a859;'><b>↓20</b></span>/33,20391.99
石油天然气炼制销售<span style='color:#ff4444;'><b>↑32</b></span>/1,19550.3
工业金属采矿<span style='color:#00a859;'><b>↓76</b></span>/79,19465.69
白银<span style='color:#00a859;'><b>↓80</b></span>/82,17136.5
半导体设备材料<span style='color:#00a859;'><b>↓24</b></span>/75,15950.65
电气设备零件<span style='color:#00a859;'><b>↓54</b></span>/63,14948.87
电子元件<span style='color:#00a859;'><b>↓74</b></span>/78,14098.32
专业化学品<span style='color:#ff4444;'><b>↑15</b></span>/11,12696.88
